# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 8.972, -2.431 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Africa/Abidjan, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Africa/Abidjan", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "8.972161086648969", "lon": "-2.4309629231529315", "date_from": "2023-01-01", "date_to": "2023-12-31", "dataset": "merra2", "capacity": "50000", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "true"}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2023-01-01 00:00,2023-01-01 00:00,0,0,0,16.105
2023-01-01 01:00,2023-01-01 01:00,0,0,0,15.539
2023-01-01 02:00,2023-01-01 02:00,0,0,0,14.922
2023-01-01 03:00,2023-01-01 03:00,0,0,0,14.245
2023-01-01 04:00,2023-01-01 04:00,0,0,0,13.550
2023-01-01 05:00,2023-01-01 05:00,0,0,0,12.874
2023-01-01 06:00,2023-01-01 06:00,435.907,0.013,0.014,12.668
2023-01-01 07:00,2023-01-01 07:00,11837.462,0.193,0.084,15.691
2023-01-01 08:00,2023-01-01 08:00,23560.418,0.454,0.105,18.919
2023-01-01 09:00,2023-01-01 09:00,31261.447,0.672,0.113,23.545
2023-01-01 10:00,2023-01-01 10:00,35784.226,0.823,0.121,27.390
2023-01-01 11:00,2023-01-01 11:00,37817.307,0.899,0.127,29.708
2023-01-01 12:00,2023-01-01 12:00,37798.882,0.905,0.130,31.033
2023-01-01 13:00,2023-01-01 13:00,35223.451,0.818,0.134,31.765
2023-01-01 14:00,2023-01-01 14:00,30260.524,0.658,0.136,31.912
2023-01-01 15:00,2023-01-01 15:00,22865.859,0.447,0.133,31.432
2023-01-01 16:00,2023-01-01 16:00,12496.631,0.199,0.113,29.903
