Country,Year,Energy Type,Production (GWh),Installed Capacity (MW),Investments (USD),Population,GDP,Energy Consumption,Energy Exports,Energy Imports,CO2 Emissions,Renewable Energy Jobs,Government Policies,R&D Expenditure,Renewable Energy Targets,Average Annual Temperature,Annual Rainfall,Solar Irradiance,Wind Speed,Hydro Potential,Geothermal Potential,Biomass Availability,Energy Storage Capacity,Grid Integration Capability,Electricity Prices,Energy Subsidies,International Aid for Renewables
USA,2011,Solar,85404.69002657851,5549.794322627294,5604124938.338174,1064007213,177527818919196.2,369654.6441836122,93087.19819879111,13413.18473982338,294399.3778914006,756878,1,8676561392.141676,1,21.956028072109135,157.01345661818925,203.0385974194104,5.838375136540771,95.59797187656017,2.516637266042632,30.26799916825889,367.5656832744333,0.3135323919597607,0.1498680309726648,168820814.7040228,236880384.71809503
China,2018,Solar,93288.40858117655,30755.403055619685,5086237221.2104845,1499494307,86779560922578.3,819064.362785224,63101.39556176742,17912.96193990885,162034.25433961197,225191,0,7608111765.726064,1,30.64102190477461,2285.0160137570706,133.26937772287002,14.964738759048007,46.4238592872572,98.64820679509263,93.72979602772568,933.7387957689796,0.1818113196327108,0.058826791091433,676760614.686479,96971816.2472056
India,2014,Wind,90483.64715931805,28526.81641416707,9359773764.31154,796046057,12010867961551.84,363527.6978021052,81737.60005127953,79121.26500895261,132562.78626691387,816485,0,224698807.0365259,0,37.73960957402565,2457.0280236516523,220.4361352564077,6.664297101799843,17.622755955709323,41.17803311417328,78.7585086047938,940.6148653751068,0.6833304146073265,0.069662516066409,19569394.88685645,609103085.1401607
Germany,2014,Wind,5656.905989867986,20658.704725199805,7703453578.998243,926881425,110480523170481.48,997437.3356607351,95825.29211378524,38129.25879323483,695687.1214173409,708461,1,7641579270.630462,0,-1.998583502447694,721.5378944145431,256.75095351023083,10.961162145023856,89.33686007726692,41.64168151517361,32.295486608336,924.6297210940376,0.8723612120617542,0.4980412528338486,200865724.7181261,908599450.3201396
Canada,2002,Wind,57780.09974625366,22408.24192185452,2810623523.563448,1304327983,79793351601566.97,364330.1039925119,32170.718271365484,54550.202691865496,146833.07510254695,938728,0,7050800475.41,1,0.9017034932526452,779.8273183498684,252.4078562481645,1.0117946438750869,95.3437421384052,56.85597311796844,15.136972232041725,966.1894263262288,0.6153864008561073,0.2963011907844233,134868198.93072194,533067156.3782727
Japan,2003,Solar,37917.34062157452,25327.81971898601,2183215453.544724,764933521,25956213176778.625,783683.4256702394,74787.85219176303,22775.013209862045,355712.55062126,925420,0,3343911058.954468,0,34.28723344769791,1313.7280211937648,288.8518488148083,11.258748573059377,68.48155378368756,3.9717830876573545,62.46540616227435,790.7222918195099,0.8126905099177184,0.4531386145108724,650720405.1065997,751809200.2940778
China,2019,Solar,78755.09374601669,36288.85624888997,5635218481.542556,979747287,132604064329803.52,361977.027721083,75840.36555587848,31535.580403474614,858104.3244757986,942579,1,7342050241.754522,1,13.226426034665456,1177.943036209056,254.08170227100183,1.1803239567668555,73.5530166078333,26.88870198622813,94.12568835742864,164.28071771762222,0.0322049142299557,0.1528106374332521,938864169.9911822,449721573.1455367
Japan,2003,Wind,9627.661808711597,49361.19183575194,7899902428.733262,1044627974,77279054375694.83,276418.26443432254,35864.966738839954,31746.7729759707,968724.0603594754,137272,0,464811092.6136085,0,-1.06367929051647,2687.442988632658,112.34994814776871,1.506654988548839,13.99922671193391,57.21303720787414,45.16770331023076,12.19755718928532,0.5920163931512568,0.172987389820627,386381634.8689116,19232026.066455945
India,2010,Wind,91946.61490188426,46526.03501721793,2979264242.914747,819890449,124421138033199.5,883549.1209687594,72708.25005466615,96055.22675605744,437529.790018632,103788,1,2317398453.7781816,1,27.442775204920167,2333.324780847704,299.5108871191929,3.6711892087386255,6.14624127255512,38.11885750617216,49.035851417240494,863.9573757965652,0.6715294989745145,0.280651939392013,318818332.7957275,275315044.476279
Canada,2007,Solar,20322.54443780233,10828.341221348928,4639469254.155021,1040200869,151359990494526.8,988690.2203134638,17157.931007760853,10527.265655232692,112176.25792479672,230374,1,6688485693.398614,1,27.2321220362318,2847.2370035504964,243.5188433225809,4.453305486378396,6.235081896014227,77.2229132399157,0.8177925872476011,885.0460783605554,0.7559597116215715,0.1772396423506996,63101031.32016354,245786667.1741703
Russia,2013,Solar,7323.636887704843,5827.46110865491,1731276894.148703,255134878,168115101190195.94,295626.6886339421,64711.2127933772,19780.11825395378,215858.4587083361,855186,0,2937554592.0920424,1,8.262476100405344,117.15582891026176,280.29312179366343,2.654530532548505,64.94450478671914,83.05031920194149,69.38685507174723,5.27762936146551,0.1303491596127166,0.1577594310693405,838498024.2861377,35499496.96325099
India,2004,Wind,6542.685310757911,28501.28710172168,9180527158.192877,531406015,68718655963285.3,278368.4633717547,20948.178955846037,75842.92072059395,758468.8908525611,454865,1,3785552393.819329,0,-6.368974540331004,2078.0353994668394,182.64878289828937,12.475753620555206,63.329486492372745,60.59307292626588,20.538019016647723,481.9929248820221,0.153704016119887,0.1263119027429963,279580704.9302008,153343205.1376703
France,2019,Solar,28474.759339284865,24303.23089940028,21020901.658146262,620172080,20213241819675.21,495218.3524693704,25933.88969130419,19803.591620668056,547101.922244398,991941,1,9452069832.79238,0,13.788417587359284,729.4356833501922,296.37087373387016,10.19779148601614,44.23059607205793,72.7133977936275,60.447249695544734,903.5054969015804,0.5029866639546225,0.4457346420720842,736504659.9347099,241285238.70237985
Germany,2002,Wind,3515.8485498481546,26439.043239975945,5976202996.917048,1141999257,185300334322771.28,643774.8059454645,11828.478216945816,48644.04347074946,328861.0606664828,556509,0,7240117660.722334,0,5.834415069436126,128.63962905656965,226.4767285164536,2.0809257972760604,88.35281125845626,61.32735789547279,53.07132116449409,922.4013731751808,0.766913943755742,0.4546188276483685,173377487.71662256,894932804.7449617
France,2014,Solar,43969.67652534624,15713.420563067046,6996068074.199007,197990713,65820663555887.805,671660.5537326628,55431.6170096855,64905.943530690514,114813.20047264337,587650,0,649375733.7519226,0,9.65013817672639,2153.136915745302,209.6925849779116,11.470673200807092,64.61539605482766,38.8048268834624,22.99341401859396,650.6890676276955,0.8489672840409552,0.2056520464394702,696033896.0572269,42235124.03024648
Brazil,2010,Solar,39491.78695895466,14223.860946024794,1472171372.2569776,636023248,9004019196367.979,290910.88831251144,94385.89587649652,45123.84515584655,369447.5624764189,884874,1,9703166645.986912,0,33.18611329498673,1648.335502118631,243.30283183035303,7.124636370795834,82.89625581048385,6.150711246876384,72.30371740399467,300.65585974651856,0.5857832066538979,0.442199431427962,489794414.7156641,214701120.72696525
Germany,2007,Wind,35102.80524775364,17363.985906788243,5124903676.065121,810530992,117271182560054.6,445969.3022736861,50496.65967277928,24314.12431826231,965260.3145619136,896954,0,1364767502.5393567,0,26.768498790941138,349.15668413939176,256.63870114989044,6.99799317883873,48.36598429482331,73.66408179108605,90.63334500201118,213.27138839803789,0.7056128082766725,0.4916142584926506,638573381.3299423,731513438.2618338
India,2021,Wind,75015.10932555415,21087.563715528097,4916894561.795905,613191835,57095133998912.33,85751.93626589805,56360.5703185572,80690.39384920581,256029.47464676984,851675,0,7183075262.194065,1,33.88781372111146,2380.9235970345712,174.88922869516267,5.628846559272215,92.59861204167396,85.24585614741824,32.032930214450175,697.4560800957285,0.5894454204723004,0.1942315166620202,416123157.0846033,645139314.7905997
USA,2005,Wind,55487.02241406713,13187.616682209558,4972807916.14054,710170825,116071903764484.14,985035.7101029604,48007.27519947862,40046.29202302176,684123.8410588611,521931,0,6633565665.041131,0,-6.598321094923989,2959.5951354667664,148.37196523390764,4.897013503984401,23.796845176249317,32.61357213925828,46.94724998212171,409.9955701155656,0.5463334495536961,0.3232470705370681,808790814.4344627,802183880.4548885
Germany,2003,Solar,73627.87665735083,41479.83227269577,1217189974.1986134,842131261,52052270161228.3,15915.901796740192,69698.53730095288,72685.70196417112,366829.61333584064,268866,0,1656156783.4301507,0,17.09029842971251,1927.178219425336,198.40584802586693,1.3501903539711453,85.68868635922304,46.08403980599832,28.399269439663957,665.609986690283,0.5382428038959435,0.3874236972392849,228545553.77522323,89286332.84697616
Australia,2009,Solar,40218.01119617886,42993.53094636307,338009756.2015766,282116949,74232349106128.53,267479.71392247925,5273.546284140851,80333.193393687,695121.1326549612,526963,1,7787833306.767878,0,1.425296408116143,1881.0882121663897,248.0096390292271,10.350276074802087,54.49059969296759,35.23064314517741,77.92932257012129,773.8561474995986,0.9327353051947684,0.2667629399922143,339235729.2155493,565239260.7048488
